Tompojevci,Vukovarsko-srijemska,II.
Podcrkavlje,Brodsko-posavska,II.
Kaptol,Požeško-slavonska,II.
Vladislavci,Osječko-baranjska,II.
Runovići,Splitsko-dalmatinska,II.
Dragalić,Brodsko-posavska,II.
Podbablje,Splitsko-dalmatinska,II.
Preseka,Zagrebačka,II.
Gračac,Zadarska,II.
Končanica,Bjelovarsko-bilogorska,II.
Punitovci,Osječko-baranjska,II.
Negoslavci,Vukovarsko-srijemska,II.
Koška,Osječko-baranjska,II.
Pitomača,Virovitičko-podravska,II.
Severin,Bjelovarsko-bilogorska,II.
Crnac,Virovitičko-podravska,II.
Nova Kapela,Brodsko-posavska,II.
Petlovac,Osječko-baranjska,II.
Zažablje,Dubrovačko-neretvanska,II.
Vrpolje,Brodsko-posavska,II.
Oprisavci,Brodsko-posavska,II.
Martinska Ves,Sisačko-moslavačka,II.
Marijanci,Osječko-baranjska,II.
Privlaka (Vinkovci),Vukovarsko-srijemska,II.
Zagvozd,Splitsko-dalmatinska,II.
Brinje,Ličko-senjska,II.
Kneževi Vinogradi,Osječko-baranjska,II.
Draž,Osječko-baranjska,II.
Semeljci,Osječko-baranjska,II.
Cerna,Vukovarsko-srijemska,II.
Ferdinandovac,Koprivničko-križevačka,II.
Pleternica,Požeško-slavonska,II.
Slivno,Dubrovačko-neretvanska,II.
Rasinja,Koprivničko-križevačka,II.
Otok (Vinkovci),Vukovarsko-srijemska,II.
Šandrovac,Bjelovarsko-bilogorska,II.
Garčin,Brodsko-posavska,II.
Erdut,Osječko-baranjska,II.
Šestanovac,Splitsko-dalmatinska,II.
Ribnik,Karlovačka,II.
Grubišno Polje,Bjelovarsko-bilogorska,II.
Stari Jankovci,Vukovarsko-srijemska,II.
Gornja Vrba,Brodsko-posavska,II.
Nijemci,Vukovarsko-srijemska,II.
Darda,Osječko-baranjska,II.
Trilj,Splitsko-dalmatinska,II.
Žumberak,Zagrebačka,II.
Tounj,Karlovačka,II.
Dubrava,Zagrebačka,II.
Feričanci,Osječko-baranjska,II.
Desinić,Krapinsko-zagorska,II.
Jasenovac,Sisačko-moslavačka,II.
Zdenci,Virovitičko-podravska,II.
Visoko,Varaždinska,II.
Lišane Ostrovičke,Zadarska,II.
Otok,Splitsko-dalmatinska,II.
Hlebine,Koprivničko-križevačka,II.
Veliko Trojstvo,Bjelovarsko-bilogorska,II.
Donji Andrijevci,Brodsko-posavska,II.
Sveti Ivan Žabno,Koprivničko-križevačka,II.
Žakanje,Karlovačka,II.
Kutjevo,Požeško-slavonska,II.
Sibinj,Brodsko-posavska,II.
Ružić,Šibensko-kninska,II.
Brestovac,Požeško-slavonska,II.
Oriovac,Brodsko-posavska,II.
Čačinci,Virovitičko-podravska,II.
Udbina,Ličko-senjska,II.
Brodski Stupnik,Brodsko-posavska,II.
Vrlika,Splitsko-dalmatinska,II.
Podturen,Međimurska,II.
Bosiljevo,Karlovačka,II.
Domašinec,Međimurska,II.
Zmijavci,Splitsko-dalmatinska,II.
Velika,Požeško-slavonska,II.
Cestica,Varaždinska,II.
Vođinci,Vukovarsko-srijemska,II.
Ivankovo,Vukovarsko-srijemska,II.
Bednja,Varaždinska,II.
Lasinja,Karlovačka,II.
Josipdol,Karlovačka,II.
Novska,Sisačko-moslavačka,II.
Štrigova,Međimurska,II.
Lovas,Vukovarsko-srijemska,II.
Peteranec,Koprivničko-križevačka,II.
Sveti Đurđ,Varaždinska,II.
Hrvatska Kostajnica,Sisačko-moslavačka,II.
Mali Bukovec,Varaždinska,II.
Petrinja,Sisačko-moslavačka,II.
Tordinci,Vukovarsko-srijemska,II.
Novigrad (Zadar),Zadarska,II.
Virje,Koprivničko-križevačka,II.
Stankovci,Zadarska,II.
Škabrnja,Zadarska,II.
Hrvace,Splitsko-dalmatinska,II.
Poličnik,Zadarska,II.
Magadenovac,Osječko-baranjska,II.
Rakovica,Karlovačka,II.
Jarmina,Vukovarsko-srijemska,II.
Bukovlje,Brodsko-posavska,II.
Kamanje,Karlovačka,II.
Selnica,Međimurska,II.
Jakšić,Požeško-slavonska,II.
Obrovac,Zadarska,II.
Posedarje,Zadarska,II.
Pakrac,Požeško-slavonska,II.
Knin,Šibensko-kninska,II.
Petrovsko,Krapinsko-zagorska,II.
Ernestinovo,Osječko-baranjska,II.
Barilovići,Karlovačka,II.
Klakar,Brodsko-posavska,II.
Legrad,Koprivničko-križevačka,II.
Hercegovac,Bjelovarsko-bilogorska,II.
Gornji Mihaljevec,Međimurska,II.
Benkovac,Zadarska,II.
Andrijaševci,Vukovarsko-srijemska,II.
Antunovac,Osječko-baranjska,II.
Garešnica,Bjelovarsko-bilogorska,II.
Koprivnički Bregi,Koprivničko-križevačka,II.
Skradin,Šibensko-kninska,II.
Martijanec,Varaždinska,II.
Pokupsko,Zagrebačka,II.
Slatina,Virovitičko-podravska,II.
Mala Subotica,Međimurska,II.
Vukovar,Vukovarsko-srijemska,II.
Netretić,Karlovačka,II.
Vuka,Osječko-baranjska,II.
Pribislavec,Međimurska,II.
Topusko,Sisačko-moslavačka,II.
Budinščina,Krapinsko-zagorska,II.
Ilok,Vukovarsko-srijemska,II.
Slunj,Karlovačka,II.
Sirač,Bjelovarsko-bilogorska,II.
Belišće,Osječko-baranjska,II.
Otočac,Ličko-senjska,II.
Čeminac,Osječko-baranjska,II.
Breznica,Varaždinska,II.
Nuštar,Vukovarsko-srijemska,II.
Bizovac,Osječko-baranjska,II.
Lobor,Krapinsko-zagorska,II.
Muć,Splitsko-dalmatinska,II.
Čazma,Bjelovarsko-bilogorska,II.
Gola,Koprivničko-križevačka,II.
Kula Norinska,Dubrovačko-neretvanska,II.
Belica,Međimurska,II.
Đakovo,Osječko-baranjska,II.
VRSI,Zadarska,II.
Zagorska Sela,Krapinsko-zagorska,II.
Unešić,Šibensko-kninska,II.
Gornja Stubica,Krapinsko-zagorska,II.
Petrijevci,Osječko-baranjska,II.
Imotski,Splitsko-dalmatinska,II.
Generalski Stol,Karlovačka,II.
Bilje,Osječko-baranjska,II.
Kotoriba,Međimurska,II.
Kijevo,Šibensko-kninska,II.
Drnje,Koprivničko-križevačka,II.
Orle,Zagrebačka,II.
Nova Gradiška,Brodsko-posavska,II.
Gradec,Zagrebačka,II.
Beli Manastir,Osječko-baranjska,II.
Drniš,Šibensko-kninska,II.
Promina,Šibensko-kninska,II.
Prgomet,Splitsko-dalmatinska,II.
Mursko Središće,Međimurska,II.
Mihovljan,Krapinsko-zagorska,II.
Polača,Zadarska,II.
Ston,Dubrovačko-neretvanska,II.
Lipik,Požeško-slavonska,II.
Tovarnik,Vukovarsko-srijemska,II.
Ozalj,Karlovačka,III.
Donji Vidovec,Međimurska,III.
Jesenje,Krapinsko-zagorska,III.
Sveti Martin na Muri,Međimurska,III.
Lećevica,Splitsko-dalmatinska,III.
Petrijanec,Varaždinska,III.
Županja,Vukovarsko-srijemska,III.
Donji Miholjac,Osječko-baranjska,III.
Krašić,Zagrebačka,III.
Brckovljani,Zagrebačka,III.
Klenovnik,Varaždinska,III.
Vratišinec,Međimurska,III.
Hrašćina,Krapinsko-zagorska,III.
Pregrada,Krapinsko-zagorska,III.
Đelekovec,Koprivničko-križevačka,III.
Lepoglava,Varaždinska,III.
Kraljevec na Sutli,Krapinsko-zagorska,III.
Mače,Krapinsko-zagorska,III.
Čepin,Osječko-baranjska,III.
Podravske Sesvete,Koprivničko-križevačka,III.
Jalžabet,Varaždinska,III.
Smokvica,Dubrovačko-neretvanska,III.
Đurmanec,Krapinsko-zagorska,III.
Ražanac,Zadarska,III.
Pojezerje,Dubrovačko-neretvanska,III.
Breznički Hum,Varaždinska,III.
Plitvička Jezera,Ličko-senjska,III.
Bibinje,Zadarska,III.
Zemunik Donji,Zadarska,III.
Bedenica,Zagrebačka,III.
Sveti Juraj na Bregu,Međimurska,III.
Kumrovec,Krapinsko-zagorska,III.
Novigrad Podravski,Koprivničko-križevačka,III.
Donja Dubrava,Međimurska,III.
Vidovec,Varaždinska,III.
Vrgorac,Splitsko-dalmatinska,III.
Valpovo,Osječko-baranjska,III.
Maruševec,Varaždinska,III.
Dicmo,Splitsko-dalmatinska,III.
Metković,Dubrovačko-neretvanska,III.
Našice,Osječko-baranjska,III.
Dekanovec,Međimurska,III.
Lekenik,Sisačko-moslavačka,III.
Goričan,Međimurska,III.
Vinica,Varaždinska,III.
Draganić,Karlovačka,III.
Primorski Dolac,Splitsko-dalmatinska,III.
Đurđevac,Koprivničko-križevačka,III.
Jasenice,Zadarska,III.
Rugvica,Zagrebačka,III.
Popovača,Sisačko-moslavačka,III.
Sinj,Splitsko-dalmatinska,III.
Sveta Marija,Međimurska,III.
Lipovljani,Sisačko-moslavačka,III.
Donji Kraljevec,Međimurska,III.
Veliki Bukovec,Varaždinska,III.
Galovac,Zadarska,III.
Bedekovčina,Krapinsko-zagorska,III.
Radoboj,Krapinsko-zagorska,III.
Opuzen,Dubrovačko-neretvanska,III.
Pakoštane,Zadarska,III.
Slavonski Brod,Brodsko-posavska,III.
Koprivnički Ivanec,Koprivničko-križevačka,III.
Nedelišće,Međimurska,III.
Sveti Križ Začretje,Krapinsko-zagorska,III.
Kloštar Ivanić,Zagrebačka,III.
Marina,Splitsko-dalmatinska,III.
Seget,Splitsko-dalmatinska,III.
Beretinec,Varaždinska,III.
Ljubešćica,Varaždinska,III.
Tuhelj,Krapinsko-zagorska,III.
Vrbovsko,Primorsko-goranska,III.
Sveti Ilija,Varaždinska,III.
Novi Golubovec,Krapinsko-zagorska,III.
Zlatar,Krapinsko-zagorska,III.
Sračinec,Varaždinska,III.
Sukošan,Zadarska,III.
Križ,Zagrebačka,III.
Luka,Zagrebačka,III.
Križevci,Koprivničko-križevačka,III.
Vrbovec,Zagrebačka,III.
Kravarsko,Zagrebačka,III.
Klanjec,Krapinsko-zagorska,III.
Orahovica,Virovitičko-podravska,III.
Požega,Požeško-slavonska,III.
Novi Marof,Varaždinska,III.
Veliko Trgovišće,Krapinsko-zagorska,III.
Cerovlje,Istarska,III.
Komiža,Splitsko-dalmatinska,III.
Prelog,Međimurska,III.
Perušić,Ličko-senjska,III.
Daruvar,Bjelovarsko-bilogorska,III.
Virovitica,Virovitičko-podravska,III.
Dubravica,Zagrebačka,III.
Klis,Splitsko-dalmatinska,III.
Vela Luka,Dubrovačko-neretvanska,III.
Sveti Filip i Jakov,Zadarska,III.
Duga Resa,Karlovačka,III.
Donja Stubica,Krapinsko-zagorska,III.
Strahoninec,Međimurska,III.
Omiš,Splitsko-dalmatinska,III.
Jakovlje,Zagrebačka,III.
Motovun,Istarska,III.
Gospić,Ličko-senjska,III.
Selca,Splitsko-dalmatinska,III.
Varaždinske Toplice,Varaždinska,III.
Marija Bistrica,Krapinsko-zagorska,III.
Karojba,Istarska,III.
Vinkovci,Vukovarsko-srijemska,III.
Dugi Rat,Splitsko-dalmatinska,III.
Senj,Ličko-senjska,III.
Bjelovar,Bjelovarsko-bilogorska,III.
Ogulin,Karlovačka,III.
Lumbarda,Dubrovačko-neretvanska,III.
Orebić,Dubrovačko-neretvanska,III.
Gradac,Splitsko-dalmatinska,III.
Kaštela,Splitsko-dalmatinska,III.
Pirovac,Šibensko-kninska,III.
Janjina,Dubrovačko-neretvanska,III.
Ivanec,Varaždinska,III.
Bilice,Šibensko-kninska,III.
Čabar,Primorsko-goranska,III.
Pučišća,Splitsko-dalmatinska,III.
Brod Moravice,Primorsko-goranska,III.
Kutina,Sisačko-moslavačka,III.
Konjščina,Krapinsko-zagorska,III.
Privlaka (Zadar),Zadarska,III.
Lovinac,Ličko-senjska,III.
Sveti Ivan Zelina,Zagrebačka,III.
Dubrovačko primorje,Dubrovačko-neretvanska,III.
Velika Ludina,Sisačko-moslavačka,III.
Trnovec Bartolovečki,Varaždinska,III.
Oroslavje,Krapinsko-zagorska,III.
Hum na Sutli,Krapinsko-zagorska,III.
Oprtalj,Istarska,III.
Sućuraj,Splitsko-dalmatinska,III.
Ludbreg,Varaždinska,III.
Trpanj,Dubrovačko-neretvanska,III.
Blato,Dubrovačko-neretvanska,III.
Gornji Kneginec,Varaždinska,III.
Gračišće,Istarska,III.
Pašman,Zadarska,III.
Ploče,Dubrovačko-neretvanska,III.
Pisarovina,Zagrebačka,III.
Klinča Sela,Zagrebačka,III.
Zlatar-Bistrica,Krapinsko-zagorska,III.
Nerežišća,Splitsko-dalmatinska,III.
Lanišće,Istarska,III.
Krapina,Krapinsko-zagorska,III.
Grožnjan,Istarska,III.
Molve,Koprivničko-križevačka,III.
Podstrana,Splitsko-dalmatinska,III.
Ravna Gora,Primorsko-goranska,III.
Mrkopalj,Primorsko-goranska,III.
Korčula,Dubrovačko-neretvanska,III.
Bistra,Zagrebačka,III.
Marija Gorica,Zagrebačka,III.
Jelenje,Primorsko-goranska,III.
Krapinske Toplice,Krapinsko-zagorska,III.
Starigrad,Zadarska,III.
Tkon,Zadarska,III.
Ivanić-Grad,Zagrebačka,III.
Karlovac,Karlovačka,III.
Kalinovac,Koprivničko-križevačka,III.
Jelsa,Splitsko-dalmatinska,III.
Tinjan,Istarska,III.
Okrug,Splitsko-dalmatinska,III.
Vižinada,Istarska,III.
Tribunj,Šibensko-kninska,III.
Vodice,Šibensko-kninska,III.
Sisak,Sisačko-moslavačka,III.
Mljet,Dubrovačko-neretvanska,III.
Pušća,Zagrebačka,III.
Lupoglav,Istarska,IV.
Šenkovec,Međimurska,IV.
Pićan,Istarska,IV.
Sveti Petar u Šumi,Istarska,IV.
Trogir,Splitsko-dalmatinska,IV.
Čavle,Primorsko-goranska,IV.
Tisno,Šibensko-kninska,IV.
Osijek,Osječko-baranjska,IV.
Župa dubrovačka,Dubrovačko-neretvanska,IV.
Vis,Splitsko-dalmatinska,IV.
Preko,Zadarska,IV.
Stubičke Toplice,Krapinsko-zagorska,IV.
Stari Grad,Splitsko-dalmatinska,IV.
Sali,Zadarska,IV.
Čakovec,Međimurska,IV.
Murter,Šibensko-kninska,IV.
Delnice,Primorsko-goranska,IV.
Kali,Zadarska,IV.
Podgora,Splitsko-dalmatinska,IV.
Klana,Primorsko-goranska,IV.
Postira,Splitsko-dalmatinska,IV.
Lastovo,Dubrovačko-neretvanska,IV.
Šibenik,Šibensko-kninska,IV.
Skrad,Primorsko-goranska,IV.
Raša,Istarska,IV.
Jastrebarsko,Zagrebačka,IV.
Povljana,Zadarska,IV.
Brdovec,Zagrebačka,IV.
Tučepi,Splitsko-dalmatinska,IV.
Solin,Splitsko-dalmatinska,IV.
Buje,Istarska,IV.
Svetvinčenat,Istarska,IV.
Konavle,Dubrovačko-neretvanska,IV.
Split,Splitsko-dalmatinska,IV.
Sveti Lovreč,Istarska,IV.
Dugo Selo,Zagrebačka,IV.
Višnjan,Istarska,IV.
Vinodolska općina,Primorsko-goranska,IV.
Pag,Zadarska,IV.
Žminj,Istarska,IV.
Zabok,Krapinsko-zagorska,IV.
Zadar,Zadarska,IV.
Barban,Istarska,IV.
Lokve,Primorsko-goranska,IV.
Milna,Splitsko-dalmatinska,IV.
Sveta Nedelja (Istra),Istarska,IV.
Kraljevica,Primorsko-goranska,IV.
Nin,Zadarska,IV.
Pazin,Istarska,IV.
Velika Gorica,Zagrebačka,IV.
Kaštelir - Labinci,Istarska,IV.
Zadvarje,Splitsko-dalmatinska,IV.
Vodnjan,Istarska,IV.
Koprivnica,Koprivničko-križevačka,IV.
Primošten,Šibensko-kninska,IV.
Rogoznica,Šibensko-kninska,IV.
Kukljica,Zadarska,IV.
Fužine,Primorsko-goranska,IV.
Brela,Splitsko-dalmatinska,IV.
Karlobag,Ličko-senjska,IV.
Matulji,Primorsko-goranska,IV.
Supetar,Splitsko-dalmatinska,IV.
Stupnik,Zagrebačka,IV.
Brtonigla,Istarska,IV.
Marčana,Istarska,IV.
Dugopolje,Splitsko-dalmatinska,IV.
Rab,Primorsko-goranska,IV.
Baška Voda,Splitsko-dalmatinska,IV.
Kastav,Primorsko-goranska,IV.
Buzet,Istarska,IV.
Rijeka,Primorsko-goranska,IV.
Labin,Istarska,IV.
Šolta,Splitsko-dalmatinska,IV.
Varaždin,Varaždinska,IV.
Mošćenička Draga,Primorsko-goranska,IV.
Makarska,Splitsko-dalmatinska,IV.
Pula,Istarska,IV.
LOPAR,Primorsko-goranska,IV.
Novi Vinodolski,Primorsko-goranska,IV.
Sveta Nedelja (Samobor,Zagrebačka,IV.
Biograd na moru,Zadarska,IV.
Crikvenica,Primorsko-goranska,IV.
Samobor,Zagrebačka,IV.
Kršan,Istarska,IV.
Bakar,Primorsko-goranska,IV.
Lovran,Primorsko-goranska,IV.
Hvar,Splitsko-dalmatinska,IV.
Ližnjan,Istarska,IV.
Zaprešić,Zagrebačka,IV.
Vrbnik,Primorsko-goranska,IV.
Kanfanar,Istarska,IV.
Mali Lošinj,Primorsko-goranska,IV.
Viškovo,Primorsko-goranska,IV.
Novalja,Ličko-senjska,V.
Dubrovnik,Dubrovačko-neretvanska,V.
Tar-Vabriga,Istarska,V.
Cres,Primorsko-goranska,V.
Bale,Istarska,V.
Vrsar,Istarska,V.
Opatija,Primorsko-goranska,V.
Fažana,Istarska,V.
Kolan,Zadarska,V.
Rovinj,Istarska,V.
Poreč,Istarska,V.
Krk,Primorsko-goranska,V.
Umag,Istarska,V.
Punat,Primorsko-goranska,V.
Bol,Splitsko-dalmatinska,V.
Sutivan,Splitsko-dalmatinska,V.
Dobrinj,Primorsko-goranska,V.
Grad Zagreb,Grad Zagreb,V.
Novigrad (Istra),Istarska,V.
Medulin,Istarska,V.
Baška,Primorsko-goranska,V.
Omišalj,Primorsko-goranska,V.
Malinska-Dubašnica,Primorsko-goranska,V.
Funtana - Fontane,Istarska,V.
Vir,Zadarska,V.
Kostrena,Primorsko-goranska,V.
